"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Cafiero del Sannio","Beneventano","Rosso","Vini Orsini","Alla vista è limpido, di colore rubino carico con orlo porpora. Al naso si presenta intenso, persistente, abbastanza fine, con sentori di ciliegia, mirtillo e mora maturi e un po’ macerati, mandorla secca, mallo di noce, melograno e umori boschivi balsamici. In bocca è secco, discretamente fresco, sapido, caldo, con netta astringenza, pieno e continuo, con deciso fondo amarognolo.","90% Aglianico; 10% Barbera del Sannio","13,5%","I.G.T.","Via Maltempo 6","San Lupo","Benevento","41.260449, 14.636543","","0824 811110","http://www.tigulliovino.it/dettaglio_azienda.php?idAzienda=1075; http://invinosatyra.it/vini-orsini/; http://www.aziendebiocampania.it/aziende/orsini-antonio; http://www.lucianopignataro.it/a/malatesta-2006-piedirosso-campania-igt-2/4306/",
"L'Arcivescovo del Sannio","Beneventano","Bianco","Vini Orsini","Alla vista è molto limpido, di colore paglierino. Al naso si presenta abbastanza intenso, persistente e fine, con sentori di fiori d’acacia e di campo, mela aurunca, prugna gialla e lieve di ananas, banana ed erbe essiccate. In bocca è secco, fresco, molto sapido, un po’ minerale, caldo, di buona struttura e persistenza, con netto fondo sapido-amarognolo.","100% Falanghina","13%","I.G.T.","Via Maltempo 6","San Lupo","Benevento","41.260449, 14.636543","","0824 811110","http://www.tigulliovino.it/dettaglio_azienda.php?idAzienda=1075; http://invinosatyra.it/vini-orsini/; http://www.aziendebiocampania.it/aziende/orsini-antonio; http://www.lucianopignataro.it/a/malatesta-2006-piedirosso-campania-igt-2/4306/",
"I Gemelli","Campania","Bianco","Vini Orsini","","90% Greco; 10% Fiano","","I.G.T.","Via Maltempo 6","San Lupo","Benevento","41.260449, 14.636543","","0824 811110","http://www.tigulliovino.it/dettaglio_azienda.php?idAzienda=1075; http://invinosatyra.it/vini-orsini/; http://www.aziendebiocampania.it/aziende/orsini-antonio; http://www.lucianopignataro.it/a/malatesta-2006-piedirosso-campania-igt-2/4306/",
"La Sirena del Borgo","Sannio","Bianco","Vini Orsini","","Fiano","","D.O.C.","Via Maltempo 6","San Lupo","Benevento","41.260449, 14.636543","","0824 811110","http://www.tigulliovino.it/dettaglio_azienda.php?idAzienda=1075; http://invinosatyra.it/vini-orsini/; http://www.aziendebiocampania.it/aziende/orsini-antonio; http://www.lucianopignataro.it/a/malatesta-2006-piedirosso-campania-igt-2/4306/",
"Fiori di Galano","Sannio","Rosso","Morone","Colore rosso rubino con riflessi violacei. Il profumo è complesso floreale e fruttato. Si evidenziano note di ciliegia e frutti di bosco. Al gusto si presenta secco equilibrato nelle sue componenti di mineralità e morbidezza con notevole persistenza.","100% Piedirosso","14%","D.O.P.","Via Municipio 189","Guardia Sanframondi","Benevento","41.254973, 14.605883","http://www.morone.it/","0824 86 43 40","",
"Albanora","Sannio","Bianco","Morone","Calice dorato. Approccio olfattivo dolce. Sentori di pesca gialle, susine, fiori di acacia, mandorle tostate ed una delicata nuance di miele. Fresco sapido di corpo medio e fruttato.","100% Falanghina","14%","D.O.P.","Via Municipio 189","Guardia Sanframondi","Benevento","41.254973, 14.605883","http://www.morone.it/","0824 86 43 40","",
"Mariposa","Sannio","Bianco","Morone","Limpido di colore giallo paglierino con riflessi verdognoli. Intenso e di notevole persistenza, floreale, agrumato e con piacevoli  note di frutta a polpa bianca e sentori erbacei. Al palato è secco. Delicato e di grande struttura, il vino mostra una gradevole persistenza di tutte le sue componenti di freschezza e mineralità.","100% Fiano","13,5%","D.O.P.","Via Municipio 189","Guardia Sanframondi","Benevento","41.254973, 14.605883","http://www.morone.it/","0824 86 43 40","",
"Alianto","Beneventano","Rosso","Morone","Colore rosso rubino. I profumi, floreali e fruttati, risultano limpidi e molto piacevoli. Il vino è secco e si svela durevole.","100% Sangiovese","13,5%","I.G.P.","Via Municipio 189","Guardia Sanframondi","Benevento","41.254973, 14.605883","http://www.morone.it/","0824 86 43 40","",
"Vassallo","Beneventano","Bianco","Morone","Limpido di colore giallo paglierino. Profumo complesso floreale e fruttato  secco al gusto.","60% Malvasia; 40% Falanghina","12,5%","I.G.P.","Via Municipio 189","Guardia Sanframondi","Benevento","41.254973, 14.605883","http://www.morone.it/","0824 86 43 40","",
"Monaci","Beneventano","Bianco","Morone","Limpido di colore giallo paglierino con riflessi verdognoli. I profumi hanno una notevole persistenza ed esprimono note floreali e fruttate. Al palato è secco e con una buona freschezza esprimendo tutta la tipicità del vitigno.","100% Falanghina","13%","I.G.P.","Via Municipio 189","Guardia Sanframondi","Benevento","41.254973, 14.605883","http://www.morone.it/","0824 86 43 40","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Rocca del Principe","Di colore giallo paglierino, all'olfatto si caratterizza per gli eleganti e fini sentori fruttati e floreali, note di erbe aromatiche e ad arricchire il quadro rimandi iodati ed idrocarburici. Al palato è secco, fresco, sapido e di lunga persistenza aromatica.","100% Fiano","13,5%","D.O.C.G.","Contrada Arianiello 9","Lapio","Avellino","40.967063, 14.925986","http://www.roccadelprincipe.it/",825982435,"http://www.tannico.it/fiano-di-avellino-docg-2014-rocca-del-principe.html",
"Taurasi","Taurasi","Rosso","Rocca del Principe","Di colore rosso rubino, all'olfatto offre un bouquet ampio e complesso con sentori di amarena, prugna matutura, tabacco, spezie, e note balsamiche. Al gusto è pieno, caldo, dinamico, giustamente tannico con una lunga persistenza che ricorda la frutta matura.","Aglianico","","D.O.P.","Contrada Arianiello 9","Lapio","Avellino","40.967063, 14.925986","http://www.roccadelprincipe.it/",825982435,"",
"Fiano di Avellino","Fiano di Avellino","Bianco","Tenuta Sarno 1860","Colore giallo paglierino; complessità aromatica con ampi ed eleganti profumi agrumati e floreali, notevole mineralità sostenuta da un'importante acidità, apprezzabile la sua notevole sapidità. Nel finale note di miele e nocciola tostata. morbido complesso ed elegante, di ricca struttura, denota una lunga persistenza al palato.","100% Fiano","13%","D.O.C.G.","Contrada giardini di Candida","Candida","Avellino","40.942429304122925,14.875198602676393","http://www.tenutasarno1860.it/",825.988434,"",
"Casavecchia","Casavecchia di Pontelatone","Rosso","Vigne Chigi","Vino di colore rosso rubino intenso, con leggeri riflessi violacei. A naso è possibile percepire originalissimi sentori di frutta rossa ben matura e in particolare di mora, e gelso nero, ma anche di viola. In bocca presenta una eccellente sapidità, ed anche discreta freschezza, con bei sentori di vaniglia. ottime sono la persistenza e la rispondenza gusto-olfattiva.","100% Casavecchia","13,5%","I.G.T.","Via Conte Rosa","Pontelatone","Caserta","41.198925, 14.257342","http://www.vignechigi.com/","338 6534128","http://www.lavinium.com/il-vino-nel-bicchiere/produttori/scheda-produttore?id_azienda=3310",
"Cretaccio","Casavecchia di Pontelatone","Rosso","Vigne Chigi","Vino di colore rosso rubino carico, con trama fitta, cristallino. A naso si percepiscono intensi e piacevoli sentori di gelso nero, carrube e caffè. In bocca è giustamente fresco, piacevolmente minerale, con interessanti sentori di frutta rossa ben matura, di mora, con un piacevolissimo finale di vaniglia e caffè. Trattasi di un vino dall’autorevole struttura, ma dotato di tannini rotondi e ben evoluti.","100% Casavecchia","13%","I.G.T.","Via Conte Rosa","Pontelatone","Caserta","41.198925, 14.257342","http://www.vignechigi.com/","338 6534128","http://www.lavinium.com/il-vino-nel-bicchiere/produttori/scheda-produttore?id_azienda=3310",
"Pallagrello Bianco","Terre del Volturno","Bianco","Vigne Chigi","Vino di colore giallo paglierino abbastanza carico. A naso è possibile percepire originalissimi sentori di melone, mandorla, fiori di ginestra e menta. In bocca presenta una eccellente sapidità, ottime sono la persistenza e la rispondenza gusto-olfattiva.","100% Pallagrello Bianco","13%","I.G.T.","Via Conte Rosa","Pontelatone","Caserta","41.198925, 14.257342","http://www.vignechigi.com/","338 6534128","http://www.lavinium.com/il-vino-nel-bicchiere/produttori/scheda-produttore?id_azienda=3310",
"Vigna Girapoggio -Cilento Aglianico","Cilento","Rosso","Verrone Viticoltori","Questo Aglianico si manifesta così come deve essere, robusto ed energico, forte e riconoscibile, intemperante come un adolescente, ma allo stesso tempo capace di dispensare tutta la sua lunga e piacevolissima morbidezza.","100% Aglianico","14%","D.O.P.","Via Madonna del Carmine","Agropoli","Salerno","40.334588, 15.016680","http://www.verroneviticoltori.it/","391 180 1587","",
"Vigna Girapoggio - Fiano","Cilento","Bianco","Verrone Viticoltori","Questo Fiano si manifesta strepitoso per la sua freschezza, per la polpa della frutta assolutamente gradevole e piena che gli conferisce gentilezza, eleganza ed esuberante allegria.","100% Fiano","13%","D.O.P.","Via Madonna del Carmine","Agropoli","Salerno","40.334588, 15.016680","http://www.verroneviticoltori.it/","391 180 1587","",
"Vigna Girapoggio -Rosato","Paestum","Rosato","Verrone Viticoltori","Questo è un rosato assolutamente particolare, ottenuto da Aglianico in purezza. Rivela tutte le caratteristiche tipiche dell’Aglianico e, allo stesso tempo, manifesta un’inaspettata freschezza e sapidità. E’ una sorpresa per il palato, come la terra da cui proviene.","100% Aglianico","13,5%","I.G.P.","Via Madonna del Carmine","Agropoli","Salerno","40.334588, 15.016680","http://www.verroneviticoltori.it/","391 180 1587","",
"Prime Vigne","Paestum","Rosato","Verrone Viticoltori","Questo è un rosato assolutamente particolare, ottenuto da Aglianico in purezza. Rivela tutte le caratteristiche tipiche dell’Aglianico e, allo stesso tempo, manifesta un’inaspettata freschezza e sapidità.","100% Aglianico","13%","I.G.P.","Via Madonna del Carmine","Agropoli","Salerno","40.334588, 15.016680","http://www.verroneviticoltori.it/","391 180 1587","",
"Fiano","Campania","Bianco","Cocciacavallo","Alla vista è limpido, di colore paglierino. Al naso si presenta intenso, persistente, fine, con netti sentori floreali, fruttati, minerali e vegetali di fiori di pesco immaturi, mandorla amara e nocciola verde, pompelmo e cedro, mela selvatica, umori boschivi e minerali. In bocca è secco, molto fresco e sapido, minerale, caldo, pieno ma snello, persistente, con fondo minerale-amarognolo.","100% Fiano","13%","I.G.P.","Via Cocciacavallo 1","Pratola Serra","Avellino","40.984346, 14.868222","","0825 967260","http://www.tigulliovino.it/dettaglio_azienda.php?idAzienda=1029;",
"Aglianico","Campania","Rosso","Cocciacavallo","Alla vista è limpido, di colore rubino carico con orlo violaceo. Al naso si presenta intenso, persistente, abbastanza fine, con sentori fruttati, vegetale-balsamici e speziati di ciliegia e mirtillo quasi maturi, umori boschivi, erbe balsamiche, liquirizia e lieve boisé. In bocca è secco, fresco, sapido, un po’ astringente, caldo, pieno, discretamente persistente, con netto fondo amarognolo.","Aglianico; Piedirosso; Sciascinoso","14%","I.G.P.","Via Cocciacavallo 1","Pratola Serra","Avellino","40.984346, 14.868222","","0825 967260","http://www.tigulliovino.it/dettaglio_azienda.php?idAzienda=1029;",
"Rapicano","Falerno del Massico","Rosso","Nicola Trabucco","Vino voluminoso e potente, di grande spessore, nonostante la giovane età, con un ventaglio di profumi intensi e persistenti con sentori speziati balsamici e di frutta.","","","D.O.C.","Corso Vittorio Emanuele","Carinola","Caserta","41.186179, 13.991120","","0823 737345","http://www.lucianopignataro.it/a/gli-otto-volti-del-falerno-secondo-nicola-trabucco-storia-e-degustazione/16373/",
"Falanghina","Beneventano","Bianco","Cantina San Paolo","Colore giallo paglierino con riflessi verdognoli, rivela piacevoli sensazioni di frutta esotica, agrumi e pera. Al palato la freschezza, la fragranza e la mineralità lo rendono molto gradevole.","Falanghina","13-14%","I.G.P.","Contrada San Paolo","Torrioni","Avellino","41.022788, 14.821990","http://www.cantinasanpaolo.it/index.php/en/","0825 998977","https://claudioquarta.it/vini-e-cantine/cantina-sanpaolo/",
"Greco di Tufo","Irpinia","Bianco","Cantina San Paolo","Verdognolo/giallo paglierino, presenta al naso note aromatiche che ricordano la pesca, l’albicocca, i fiori di campo e la camomilla. Al palato si ripropone deciso, nobile ed estremamente elegante.","Greco","12-13%","D.O.C.G.","Contrada San Paolo","Torrioni","Avellino","41.022788, 14.821990","http://www.cantinasanpaolo.it/index.php/en/","0825 998977","https://claudioquarta.it/vini-e-cantine/cantina-sanpaolo/",
"Taurasi Riserva","Taurasi","Rosso","Cantina San Paolo","Colore rosso rubino, presenta intensi sentori di ciliegia, viola mammola e piccoli frutti a bacca rossa con sfumature di spezie e cioccolato. Gusto caldo e avvolgente.","Aglianico","13,5%","D.O.C.G.","Contrada San Paolo","Torrioni","Avellino","41.022788, 14.821990","http://www.cantinasanpaolo.it/index.php/en/","0825 998977","https://claudioquarta.it/vini-e-cantine/cantina-sanpaolo/",
"Fiano di Avellino","Irpinia","Bianco","Cantina San Paolo","Di colore giallo paglierino tenue, profumo tipico erbaceo che ben si rispecchia al palato, insieme alla freschezza unita a doti di spiccata sapidità.","Fiano","12-13%","D.O.C.G.","Contrada San Paolo","Torrioni","Avellino","41.022788, 14.821990","http://www.cantinasanpaolo.it/index.php/en/","0825 998977","https://claudioquarta.it/vini-e-cantine/cantina-sanpaolo/",
"Suavemente","Campania","Bianco","Cantina San Paolo","Di colore giallo paglierino, dai sentori fini e invitanti di note floreali, di frutta esotica e di agrumi.","Greco; Fiano; Falanghina","12,5%","I.G.P.","Contrada San Paolo","Torrioni","Avellino","41.022788, 14.821990","http://www.cantinasanpaolo.it/index.php/en/","0825 998977","https://claudioquarta.it/vini-e-cantine/cantina-sanpaolo/",
"Greco di Tufo Claudio Quarta","Irpinia","Bianco","Cantina San Paolo","Eccezionale bilanciamento tra freschezza del vitigno, suoli e ricchezza del frutto. Un vino asciutto e di grande finezza, eleganza e persistenza.","Greco","13-14%","D.O.C.G.","Contrada San Paolo","Torrioni","Avellino","41.022788, 14.821990","http://www.cantinasanpaolo.it/index.php/en/","0825 998977","https://claudioquarta.it/vini-e-cantine/cantina-sanpaolo/",
"Aglianico","Irpinia","Rosso","Cantina San Paolo","Di colore rosso rubino intenso con riflessi violacei, profumi di frutti di bosco, sapore morbido e giustamente tannico.","Aglianico","13-14%","D.O.P.","Contrada San Paolo","Torrioni","Avellino","41.022788, 14.821990","http://www.cantinasanpaolo.it/index.php/en/","0825 998977","https://claudioquarta.it/vini-e-cantine/cantina-sanpaolo/",
"Fiano di Avellino","Irpinia","Bianco","Vigne Guadagno","Giallo paglierino carico e luminoso, all'olfatto si sente ancora la nota derivata dal contatto con le fecce, il frutto spicca appena maturo, toni erbacei leggeri fanno da corollario ad un bouquet fine e gradevolissimo. Al gusto è speculare, freschissimo, sapido, appena più alcolico del precedente millesimo ma con struttura adeguata.","100% Fiano","13,5%","D.O.C.G.","Via Tagliamento 237","Avellino","Avellino","40.918970, 14.783272","http://www.vigneguadagno.it/","0825 168 6379","",
"Aglianico","Irpinia","Rosso","Vigne Guadagno","","100% Aglianico","","D.O.C.","Via Tagliamento 237","Avellino","Avellino","40.918970, 14.783272","http://www.vigneguadagno.it/","0825 168 6379","https://www.facebook.com/Vigne-Guadagno-314803828568747/; http://www.lavinium.com/il-vino-nel-bicchiere/produttori/scheda-produttore?id_azienda=4482; http://www.tocchitalia.it/50_;",
"Greco di Tufo","Irpinia","Bianco","Vigne Guadagno","Vino dorato, chiaro, luminoso, con leggeri riflessi verdolini. Al naso annuncia toni di erbe selvatiche, bosso, ruta, ginestra, fiori bianchi, poi si sposta sul fruttato, in parte agrumato. In bocca rivela una trama efficace, ancora giovane ma già ben delineata, c'è energia e slancio fruttato.","100% Greco","13,5%","D.O.C.G.","Via Tagliamento 237","Avellino","Avellino","40.918970, 14.783272","http://www.vigneguadagno.it/","0825 168 6379","https://www.facebook.com/Vigne-Guadagno-314803828568747/; http://www.lavinium.com/il-vino-nel-bicchiere/produttori/scheda-produttore?id_azienda=4482; http://www.tocchitalia.it/50_;",
"Falanghina","Irpinia","Bianco","Vigne Guadagno","","100% Falanghina","13%","D.O.C.","Via Tagliamento 237","Avellino","Avellino","40.918970, 14.783272","http://www.vigneguadagno.it/","0825 168 6379","https://www.facebook.com/Vigne-Guadagno-314803828568747/; http://www.lavinium.com/il-vino-nel-bicchiere/produttori/scheda-produttore?id_azienda=4482; http://www.tocchitalia.it/50_;",
"Taurasi","Taurasi","Rosso","Vigne Guadagno","Di colore rubino intenso con riflessi granati, al naso offre un bouquet ampio e complesso, intenso, con note di ciliegia, frutti di bosco, sentori speziati di viola, tabacco e note minerali. Pieno ed austero, vellutato e giustamente tannico, al palato si caratterizza con note di prugna, amarena e pepe nero.","100% Aglianico","14%","D.O.C.G.","Via Tagliamento 237","Avellino","Avellino","40.918970, 14.783272","http://www.vigneguadagno.it/","0825 168 6379","https://www.facebook.com/Vigne-Guadagno-314803828568747/; http://www.lavinium.com/il-vino-nel-bicchiere/produttori/scheda-produttore?id_azienda=4482; http://www.tocchitalia.it/50_;",
"Satyricon","Irpinia Campi Taurasini","Rosso","Luigi Tecce","Colore rosso rubino, profumo inebriante, ventaglio di sentori fruttati, speziati e minerali con note di cera, china, prugna, carbone e brace. Gusto ricco, complesso e persistente.","100% Aglianico","15%","D.O.C.","Via Trinità 6","Paternopoli","Avellino","40.952056511573, 15.039683916979","","0827 71375","https://www.facebook.com/pages/Luigi-Tecce/413870788631868; http://www.tannico.it/cantina/luigi-tecce.html?utm_source=AW12-2015&ep=true&nol=1&gclid=CMXRiKCJtdMCFQtAGwodYt8N0A; https://www.callmewine.com/it/cantina/luigi-tecce.html;",
"Poliphemo","Taurasi","Rosso","Luigi Tecce","Colore rosso rubino acceso con riflessi granati; note di ciliegia, corteccia, pepe rosa, giuggiole, arancia, mirto, incenso, glicine e malva. Gusto potente e bilanciato, elegante e di pregiata persistenza minerale.","100% Aglianico","14,5%","D.O.C.G.","Via Trinità 6","Paternopoli","Avellino","40.952056511573, 15.039683916979","","0827 71375","https://www.facebook.com/pages/Luigi-Tecce/413870788631868; http://www.tannico.it/cantina/luigi-tecce.html?utm_source=AW12-2015&ep=true&nol=1&gclid=CMXRiKCJtdMCFQtAGwodYt8N0A; https://www.callmewine.com/it/cantina/luigi-tecce.html;",
"Sinopea","Campania","Bianco","Masseria Felicia","Dall’antica vite ricca di carattere, un’intensa e fruttata falanghina in purezza dagli spiccati sentori floreali. Un frutto che mantiene intatta la sua tipicità varietale passando nel bicchiere e rinnova la sua esuberanza ad ogni sorso.","100% Falanghina","","I.G.T.","SP 104 - Loc. San Terenzano - Frazione Carano","Sessa Aurunca","Caserta","41.217532, 13.913712","","0823 935095","https://www.facebook.com/Masseria-Felicia-223544300995597/",
"Etichetta Bronzo","Falerno del Massico","Rosso","Masseria Felicia","Un vino ricco di trama, importante e profondo di un intenso rosso rubino dai riflessi violacei, è ricco di fragranti profumi di more e ciliegie mature, ed ha uno spirito irrequieto: ombrosità e armonia guerreggiano nelle pieghe delle sue venature tra gli aromi di incenso e ceneri vulcaniche della sua terra.","80% Aglianico; 20% Piedirosso","","D.O.C.","SP 104 - Loc. San Terenzano - Frazione Carano","Sessa Aurunca","Caserta","41.217532, 13.913712","","0823 935095","https://www.facebook.com/Masseria-Felicia-223544300995597/",
"Ariapetrina","Falerno del Massico","Rosso","Masseria Felicia","Vino giovane ma energico, strutturato eppure disinvolto, dove la freschezza del piedirosso è supportata dalla struttura dell'aglianico. Si offre all’occhio con un bel rubino carico, al naso è denso e ricco di buona mineralità. Esuberante e inquieto con note fruttate e segni di energica forma","80% Aglianico; 20% Piedirosso","","D.O.C.","SP 104 - Loc. San Terenzano - Frazione Carano","Sessa Aurunca","Caserta","41.217532, 13.913712","","0823 935095","https://www.facebook.com/Masseria-Felicia-223544300995597/",
"Anthologia","Falerno del Massico","Bianco","Masseria Felicia","Anthologia è una Falanghina di colore dorato, dai bei profumi di frutta tropicale e lievi spunti vegetali. L’alcol importante e una bella acidità abbracciano la bocca con generosità, accompagnandola fino all’elegante chiusura sapida.","100% Falanghina","","D.O.C.","SP 104 - Loc. San Terenzano - Frazione Carano","Sessa Aurunca","Caserta","41.217532, 13.913712","","0823 935095","https://www.facebook.com/Masseria-Felicia-223544300995597/",
"Rosalice","Roccamonfina","Rosato","Masseria Felicia","Vino rosato esuberante e fresco.","100% Falanghina","","I.G.T.","SP 104 - Loc. San Terenzano - Frazione Carano","Sessa Aurunca","Caserta","41.217532, 13.913712","","0823 935095","https://www.facebook.com/Masseria-Felicia-223544300995597/",
"Falerno del Massico","Falerno del Massico","Rosso","Masseria Felicia","Aglianico e Piedirosso sono la base di questo Falerno che vuole raccontare, attraverso il frutto, di un terroir unico. Un vino armonioso e corposo, ricco di eleganti tannini, dal carattere intenso.","80% Aglianico; 20% Piedirosso","","D.O.C.","SP 104 - Loc. San Terenzano - Frazione Carano","Sessa Aurunca","Caserta","41.217532, 13.913712","","0823 935095","https://www.facebook.com/Masseria-Felicia-223544300995597/",
"Dioniso","Campania","Rosso","Tempere","Rosso granato intenso all’occhio, con riflessi color rubino. Profondi sentori di more, ribes nero e frutti di bosco in genere, aprono l’ingresso al naso, che poi percepisce richiami terziari di cuoio, tabacco e liquirizia. Di grande struttura al palato, offre un assaggio caldo e corposo, energico nella trama tannica e di lunga persistenza.","100% Aglianico","14,5%","I.G.T.","Via San Sebastiano 7","Sant'Arsenio","Salerno","40.472177, 15.482980","http://www.vino-tempere.it/azienda.html","0975 399350","http://www.tannico.it/campania-aglianico-igt-dioniso-2012-tempere.html",
"Crai","Paestum","Bianco","Cobellis","Vino di colore giallo paglierino con riflessi verdognoli, al naso esprime fresche note floreali e di frutta esotica. Persistente e morbido, al palato evidenzia una buona sapidità e freschezza.","Fiano; Trebbiano; Malvasia bianca","13%","I.G.T.","Località Prevetelupo","Vallo della Lucania","Salerno","40.231985, 15.269339","http://www.aziendaagricolacobellis.it/index.php","0974 78955","",
"Piscrai","Paestum","Rosato","Cobellis","Vino dal colore rosato intenso, esprime fresche note di frutta rossa. Persistente e morbido, al palato evidenzia una buona sapidità e freschezza.","100% Barbera","13%","I.G.T.","Località Prevetelupo","Vallo della Lucania","Salerno","40.231985, 15.269339","http://www.aziendaagricolacobellis.it/index.php","0974 78955","",
"Piscriddi","Paestum","Rosso","Cobellis","Vino dal colore rosso rubino intenso, al naso esprime fresche note floreali e di frutta rossa matura. Potente e morbido, al palato evidenzia una struttura e freschezza.","Barbera; Aglianico","14%","I.G.T.","Località Prevetelupo","Vallo della Lucania","Salerno","40.231985, 15.269339","http://www.aziendaagricolacobellis.it/index.php","0974 78955","",
"Vigna dei Russi","Paestum","Rosso","Cobellis","Vino di punta della nostra azienda, si presenza con un colore rosso rubino molto concentrato, quasi impenetrabile. Al naso esprime complesse note floreali e di frutta rossa matura, con sfumature balsamiche di vaniglia e tostatura. Al palato esprime una trama fittissima, molto potente e morbida con un lungo piacevole finale.","100% Aglianico","14,5%","I.G.T.","Località Prevetelupo","Vallo della Lucania","Salerno","40.231985, 15.269339","http://www.aziendaagricolacobellis.it/index.php","0974 78955","",
"Picoli","Greco di Tufo","Bianco","Cantina Bambinuto","Colore giallo paglierino tendente al dorato, con profumi floreali.","100% Greco","14,5%","D.O.C.G.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Taurasi","Taurasi","Rosso","Cantina Bambinuto","Colore rosso rubino tendente al violaceo, con profumi di frutta a bacca rossa.","100% Aglianico","14,5%","D.O.C.G.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Greco di Tufo","Greco di Tufo","Bianco","Cantina Bambinuto","Colore giallo paglierino, con sentori di mandorle.","100% Greco","13,5%","D.O.C.G.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Cantina Bambinuto","Colore giallo paglierino con riflessi verdognoli e profumi di pera matura.","100% Fiano","13%","D.O.C.G.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Matértera","Irpinia","Rosso","Cantina Bambinuto","Colore rosso intenso, profumi floreali.","100% Aglianico","13,5%","D.O.C.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Anhelitus","Irpinia","Rosato","Cantina Bambinuto","Colore rosa cerasuolo, profumi floreali.","100% Aglianico","13,5%","D.O.C.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Aglianico","Campania","Rosso","Cantina Bambinuto","Colore rosso intenso, profumi floreali.","100% Aglianico","13%","I.G.T.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Falanghina","Campania","Bianco","Cantina Bambinuto","Colore giallo paglierino con riflessi verdognoli, profumo di frutti tropicali.","100% Falanghina","13%","I.G.T.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Proditio","Irpinia","Bianco","Cantina Bambinuto","Vino Passito dal colore ambrato; gusto caldo e deciso, profumo intenso e persistente con sentori di fichi secchi, albicocca e miele.","100% Greco","15%","D.O.C.","Via Cerro","Santa Paolina","Avellino","41.023710, 14.846525","http://www.cantinabambinuto.com/home.html","0825 964634","",
"Aglianico","Beneventano","Rosso","Fiore Romano","Gusto lungo e persistente, intensa corposità","Aglianico","","I.G.T.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Coda di Volpe","Pompeiano","Bianco","Fiore Romano","Gusto lungo e persistente, fresco.","Coda di Volpe","","I.G.T.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Falanghina Vivace","Pompeiano","Bianco","Fiore Romano","","Falanghina","","I.G.T.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Falanghina","Beneventano","Bianco","Fiore Romano","Gusto asciutto.","Falanghina","","I.G.T.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Falanghina","Campi Flegrei","Bianco","Fiore Romano","Vino dal colore giallo paglierino scarico con leggeri riflessi verdognoli; profumo fruttato e gusto fresco e secco.","Falanghina","","D.O.C.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Gragnano","Penisola Sorrentina","Rosso","Fiore Romano","Vino frizzante, dal profumo fruttato.","","","D.O.C.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Lacryma Christi del Vesuvio","Vesuvio","Bianco","Fiore Romano","Colore giallo paglierino scarico, un gusto inconfondibile ed accentuati profumi di pesca e ginestra vesuviana.","Coda di Volpe; Falanghina","","D.O.C.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Lacryma Christi del Vesuvio","Vesuvio","Rosso","Fiore Romano","Profumo di marasca e ciliegia matura, gusto morbido, pieno e vellutato","Piedirosso","","D.O.C.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Per 'e Palummo","Pompeiano","Rosso","Fiore Romano","Vino dal gusto caldo e particolarmente morbido.","100% Piedirosso","","I.G.T.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
