"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Montecardillo","Terre del Volturno","Rosso","Pallagrello Nero","Sclavia","Colore	rosso	rubino;	profumo	intenso	e	fruttato,	con	note	di	sottobosco;	sapore	asciutto,	di	buon	corpo,	con	una	piacevole	percezione	di	tannini.","100% Pallagrello Nero","13%","I.G.P.","Via Case Sparse","Liberi","Caserta","41.230492, 14.309574","http://www.sclavia.com/","335 6654770","",
"Calù","Terre del Voltuno","Bianco","Pallagrello Bianco","Sclavia","Colore	giallo	paglierino;		profumo	intenso	con	note		di	frutta	esotica,	albicocca e	miele;	sapore	pieno	e	vellutato.","100% Pallagrello Bianco","13%","I.G.P.","Via Case Sparse","Liberi","Caserta","41.230492, 14.309574","http://www.sclavia.com/","335 6654770","",
"Liberi","Casavecchia di Pontelatone","Rosso","","Sclavia","Rosso	complesso,	con	ampio	spettro	aromatico:	spezie,	liquirizia, frutta	secca,	tabacco.	Molto	concentrato,	morbido	e	fresco. Al	palato	è	poderoso,	intenso,	con	un	finale	pulito.","100% Casavecchia","13,5%","D.O.P.","Via Case Sparse","Liberi","Caserta","41.230492, 14.309574","http://www.sclavia.com/","335 6654770","",
"VignaAntica","Terre del Volturno","Rosso","Aglianico","Selvanova","","100% Aglianico","","I.G.T.","Via Selvanova, Località Squille","Castel Campagnano","Caserta","41.170174, 14.416466","http://www.selvanova.com/","0823 867261","",
"Milo","Terre del Volturno","Bianco","Fiano","Selvanova","","100% Fiano","","I.G.T.","Via Selvanova, Località Squille","Castel Campagnano","Caserta","41.170174, 14.416466","http://www.selvanova.com/","0823 867261","",
"Selvanova","Terre del Volturno","Rosso","Aglianico Riserva","Selvanova","","100% Aglianico","","I.G.T.","Via Selvanova, Località Squille","Castel Campagnano","Caserta","41.170174, 14.416466","http://www.selvanova.com/","0823 867261","",
"Silicata","Terre del Volturno","Rosso","","Selvanova","","85% Aglianico; 15% Cabernet Sauvignon","","I.G.T.","Via Selvanova, Località Squille","Castel Campagnano","Caserta","41.170174, 14.416466","http://www.selvanova.com/","0823 867261","",
"Sopralago","Terre del Volturno","Rosso","","Selvanova","","100% Cabernet Sauvignon","","I.G.T.","Via Selvanova, Località Squille","Castel Campagnano","Caserta","41.170174, 14.416466","http://www.selvanova.com/","0823 867261","",
"Hero","Terre del Volturno","Rosso","Pallagrello Rosso","Selvanova","","100% Pallagrello Rosso","","I.G.T.","Via Selvanova, Località Squille","Castel Campagnano","Caserta","41.170174, 14.416466","http://www.selvanova.com/","0823 867261","",
"Acquavigna","Terre del Volturno","Bianco","Pallagrello Bianco","Selvanova","","100% Pallagrello Bianco","","I.G.T.","Via Selvanova, Località Squille","Castel Campagnano","Caserta","41.170174, 14.416466","http://www.selvanova.com/","0823 867261","",
"Novello Pompeiano","Pompeiano","Rosso","Piedirosso Novello","Sorrentino","Rosso rubino intenso. Profumo vinoso. Offre sentori fruttati con spiccate note di lampone e fragola. Sentori floreali. Piacevole, fresco ed armonico. Rotondità vellutata grazie a qualche traccia zuccherina.","100% Piedirosso","11,5%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Gragnano Versacrum","Penisola Sorrentina Gragnano","Rosso","","Sorrentino","Rosso rubino.Profumo offre sentori fruttati con spiccate note di frutti rossi. Sentori floreali di viole. Frizzante","Aglianico; Piedirosso; Sciascinoso","12%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Falanghina Versacrum","Pompeiano","Bianco","Falanghina","Sorrentino","Giallo paglierino.Profumo intenso e consistente. Offre sentori floreali e sentorifruttati con spiccate note di agrumi e ananas.Sapore corposo ed elegante, secco e persistente.Equilibrato ed armonico per le sensazioni di freschezzae di sapidità in equilibrio con quelle di morbidezza,dotato di una buona vivacità.","100% Falanghina","12%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Piedirosso Versacrum","Pompeiano","Rosso","Piedirosso","Sorrentino","Rosso rubino. Profumo intenso, ampio e consistente. Offre sentori fruttati di confettura con spiccate note di frutti rossi e sentori vegetali tra cui il balsamico, sentori floreali.Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico, morbido.","100% Piedirosso","12,5%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Lacryma Christi del Vesuvio Vigna Lapillo","Vesuvio","Bianco","Lacryma Christi","Sorrentino","Giallo paglierino .Profumo molto intenso, fine, complesso e consistente. Offre sentori fruttati con prevalenza della mandorla, pesca bianca e pera, sentori minerali. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza.","90% Coda di Volpe; 10% Falanghina","13%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Frupa Prodivi","Pompeiano","Rosso","Piedirosso","Sorrentino","Rosso rubino intenso.Profumo intenso, ampio e consistente. Offre sentori fruttati diconfettura con spiccate note di prugna, ciliegia e fragola,sentori speziati tra cui vaniglia, pepe e liquirizia e sentorivegetali tra cui il balsamico. Corposo, gradevole ed elegante, secco e persistente.Equilibrato ed armonico, morbido e dotato di tannini fini","100% Piedirosso","13,5%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Natì Prodivi","Pompeiano","Bianco","Coda di Volpe","Sorrentino","Giallo paglierino intenso. Profumo molto intenso, fine, complesso e consistente.Offre sentori floreali tra cui l’acacia, sentori fruttaticon prevalenza dell’albicocca e mandorla.Corposo, gradevole ed elegante, secco e persistente.Equilibrato ed armonico per le sensazioni di freschezzae di sapidità in equilibrio con quelle di morbidezza,dotato di una buona acidità.","100% Coda di Volpe","12%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"MòDà Versacrum","Pompeiano","Rosso","Piedirosso","Sorrentino","Rosso rubino. Profumo intenso e consistente. Offre sentori floreali e fruttati con spiccate note di frutti rossi.Sapore piacevole ed elegante. Vivace e persistente. Equilibrato ed armonico, giusta abboccatura.","100% Piedirosso","12%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Lacryma Christi Rosso Vigna Lapillo","Vesuvio","Rosso","Lacryma Christi","Sorrentino","Rosso rubio intenso.Profumo intenso, ampio e consistente. Offre sentori fruttati di confettura con spiccate note di prugna, ciliegia e fragola, sentori speziati tra cui pepe e liquirizia e sentori vegetali tra cui il balsamico. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico, morbido e dotato di tannini fini.","80% Piedirosso; 20% Aglianico","13%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Latikadea Prodivi","Pompeiano","Bianco","Falanghina","Sorrentino","Giallo paglierino.Profumo intenso e consistente. Offre sentori floreali e sentorifruttati con spiccate note di agrumi e ananas.Corposo ed elegante, secco e persistente.Equilibrato ed armonico per le sensazioni di freschezzae di sapidità in equilibrio con quelle di morbidezza,dotato di una buona acidità.","100% Falanghina","12%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Lacryma Christi Rosato Vigna Lapillo","Vesuvio","Rosato","Lacryma Christi","Sorrentino","Rosa intenso.Profumo intenso, fine, complesso e consistente. Offre sentori fruttati con aromi che ricordano la pesca, prugna e l’albicocca acerba. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza.","80% Piedirosso; 20% Aglianico","13,5%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Lacryma Christi Rosato Versacrum","Vesuvio","Rosato","Lacryma Christi","Sorrentino","Rosa tenue. Profumo intenso e consistente. Offre sentori fruttati con aromi che ricordano la pesca e l’albicocca acerba. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza.","90% Piedirosso; 10% Aglianico","12,5%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Vigna Lapillo Rosato Prodivi","Vesuvio","Rosato","Lacryma Christi","Sorrentino","Rosa intenso .Profumo intenso, fine, complesso e consistente. Offre sentori fruttati con aromi che ricordano la pesca, prugna e l’albicocca acerba.Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza.","80% Piedirosso; 20% Aglianico","13%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Lacryma Christi del Vesuvio Versacrum","Vesuvio","Bianco","Lacryma Christi","Sorrentino","Giallo paglierino.Profumo molto intenso, fine, complesso e consistente. Offre sentori floreali tra cui la ginestra, sentori fruttati con prevalenza della mandorla. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza.","90% Coda di Volpe; 10% Falanghina","12,5%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Lacryma Christi Rosso Versacrum","Vesuvio","Rosso","Lacryma Christi","Sorrentino","Rosso rubino intenso.Profumo intenso, ampio e consistente. Offre sentori fruttati con spiccate note di prugna, ciliegia, fragola e sentori speziati tra cui pepe. Corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico, morbido e dotato di tannini fini.","90% Piedirosso; 10% Aglianico","12,5%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Vigna Lapillo Rosso Prodivi","Vesuvio","Rosso","Lacryma Christi","Sorrentino","Rosso rubino intenso.Profumo intenso, ampio e consistente. Offre sentori fruttati diconfettura con spiccate note di prugna, ciliegia e fragola.Sentori speziati tra cui pepe e liquirizia e sentori vegetalitra cui il balsamico.Corposo, gradevole ed elegante, secco e persistente.Equilibrato ed armonico, morbido e dotato di tannini fini.","80% Piedirosso; 20% Aglianico","13%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Coda di Volpe Versacrum","Pompeiano","Bianco","Coda di Volpe","Sorrentino","Giallo paglierino.Profumo molto intenso, fine, complesso e consistente. Offre sentori floreali e sentori fruttati con prevalenza dell'albicocca e mandorla Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di	sapidità in equilibrio con quelle di morbidezza.","100% Coda di Volpe","12,5%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Vesuvio Rosso","Vesuvio","Rosso","","Sorrentino","Rosso rubino intenso.Profumo intenso , ampio e consistente. Offre sentori fruttati con spiccate note di prugna, fragola e sentori speziati tra cui pepe. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico, morbido e dotato di tannini fini.","90% Piedirosso; 10% Aglianico","12%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Fiano di Avellino Versacrum","Fiano di Avellino","Bianco","Fiano di Avellino","Sorrentino","Giallo paglierino.Profumo intenso e consistente. Offre sentori fruttati di pera,nocciola tostata ed ananas.Sapore corposo ed elegante, secco e persistente.Equilibrato ed armonico per le sensazioni di freschezzae di sapidità in equilibrio con quelle di morbidezza,dotato di una buona vivacità","100% Fiano","12,5%","D.O.C.G.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Don Paolo","Pompeiano","Rosso","Aglianico","Sorrentino","Rosso rubino con riflessi violacei. Profumo molto intenso, ampio, complesso e consistente. Offre sentori fruttati di confettura con spiccate note di ciliegia, fragola e frutti di bosco, sentori speziati tra cui vaniglia, pepe, caffè tostato, cioccolato, liquirizia e sentori vegetali tra cui il tabacco. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico, morbido e giustamente tannico.","100% Aglianico","13,5%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Dorè","Vesuvio","Bianco","Lacryma Christi Spumante","Sorrentino","Giallo paglierino con riflessi verdognoli. Profumo molto intenso, ampio, fine, complesso e consistente. Offre sentori fruttati con spiccate note di pera e mela verde. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza.","80% Coda di Volpe; 20% Falanghina","12%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Greco di Tufo Versacrum","Greco di Tufo","Bianco","Greco di Tufo","Sorrentino","Giallo paglierino .Profumo intenso e consistente. Offre sentori fruttati di pera e albicocca. Sapore corposo ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza, dotato di una buona vivacità.","100% Greco","12%","D.O.C.G.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Vesuvio Bianco","Vesuvio","Bianco","","Sorrentino","Giallo paglierino.Profumo intenso e consistente. Offre sentori floreali e fruttati con prevalenza della mandorla Corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza.","80% Coda di Volpe; 20% Falanghina","12%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Vulcano","Pompeiano","Rosso","Piedirosso","Sorrentino","Rosso rubino intenso.Profumo intenso, ampio e consistente. Offre sentori fruttati di confettura con spiccate note di prugna, ciliegia e fragola, sentori speziati tra cui vaniglia, pepe e liquirizia e sentori vegetali tra cui il balsamico. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico, morbido e dotato di tannini fini.","100% Piedirosso","13,5%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Fiori di Ginestre","Pompeiano","Bianco","Passito","Sorrentino","Giallo ambrato.Profumo molto intenso e fine. Offre sentori floreali tra cui la ginestra, sentori fruttati con note di albicocca e pesca. Sensazioni dolci di fichi secchi, miele, erbe aromatiche e note minerali. Sapore corposo, piacevole ed elegante, secco e persistente. Corposo, gradevole ed elegante, persistente. Complesso grazie alla fusione tra dolcezza, sapidità e morbidezza","70% Falanghina; 30% Coda di Volpe","15%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Vigna Lapillo Bianco Prodivi","Vesuvio","Bianco","Lacryma Christi","Sorrentino","Giallo paglierino.Profumo molto intenso, fine, complesso e consistente.Offre sentori fruttati con prevalenza della mandorla,pesca bianca e pera, sentori minerali.Corposo, gradevole ed elegante, secco e persistente.Equilibrato ed armonico per le sensazioni di freschezza edi sapidità in equilibrio con quelle di morbidezza.","80% Coda di Volpe; 20% Falanghina","12%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Donn'Angela","Vesuvio","Bianco","Lacryma Christi Spumante","Sorrentino","Giallo paglierino con riflessi dorati.Profumo molto intenso, ampio, fine, complesso e consistente. Offre sentori floreali tra cui ginestra, spiccate note di crosta di pane e lievito. Sapore corposo, gradevole ed elegante, secco e persistente. Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza.","90% Coda di Volpe; 10% Falanghina","12%","D.O.C.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"Natì","Pompeiano","Bianco","Coda di Volpe","Sorrentino","Giallo paglierino intenso.Profumo molto intenso, complesso e consistente. Ore sentori floreali tra cui l’acacia, sentori fruttati con prevalenza dell’albicocca e mandorla. Corposo, piacevole ed elegante, secco e persistente.Equilibrato ed armonico per le sensazioni di freschezza e di sapidità in equilibrio con quelle di morbidezza, dotato di una buona vivacità.","100% Coda di Volpe","12%","I.G.T.","Via Casciello, 5","Boscotrecase","Napoli","40.787731, 14.458790","http://www.sorrentinovini.com/","081 8584963","",
"","","","","Taffuri Pouchain","","","","","Viale della Rimembranza, 59","San Lorenzello","Benevento","41.277119, 14.540911","http://www.taffuripouchain.it/","338 2672579","",
"Novello","Roccamonfina","Rosso","Novello","Telaro","Rosso rubino intenso. Intensi sentori di frutta fresca e marcato aroma di uva giovane. Fresco, succoso e di piacevole beva.","70% Aglianico; 30% Barbera","12%","I.G.T.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Ara Mundi","Galluccio","Rosso","Riserva","Telaro","Rosso rubino intenso con riflessi porpora, tendenti all'aranciato con l'invecchiamento. Intenso, con un lungo finale dove emergono chiari sentori di frutti di bosco, confettura, ben bilanciati con note di legno e sottobosco. Caldo, sapido, di ottima struttura con tannini ben equilibrati.","100% Aglianico","13,5%","D.O.C.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Fiano Le Cinque Pietre","Roccamonfina","Bianco","Fiano","Telaro","Giallo paglierino con riflessi verdolini. Elegante, ampio, fruttato e floreale con note di frutta gialla, cedro, acacia e ginestra, con una cremosa nota tostata sul finale tipica del vitigno. Secco, caldo, morbido di corpo e con buona corrispondenza alle sensazioni olfattive.","85-90% Fiano; 10-15% Falanghina","12,5%","I.G.T.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Calivierno","Roccamonfina","Rosso","","Telaro","Rosso rubino intenso con riflessi porpora. Intenso e fruttato con sentori di mora e lampone, il finale è ben amalgamato con i sentori di legno fruttato e sottobosco. Secco, caldo, abbastanza morbido, fresco, con buona sapidità di corpo, con tannini ben bilanciati.","80% Aglianico; 20% Piedirosso","13,5%","I.G.T.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Passito Le Cinque Pietre","Roccamonfina","Rosso","Passito","Telaro","Rosso rubino intenso con riflessi violacei. Intensamente fruttato con chiare note di mora, lampone, ciliegia e fragola; Una reminiscenza floreale ricorda chiaramente la violetta. Caldo, di buona struttura con un finale lungo e dolce.","100% Aleatico di Galluccio","14%","I.G.T.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Greco Le Cinque Pietre","Roccamonfina","Bianco","Greco","Telaro","Giallo paglierino con riflessi verdognoli. Elegante floreale, con un morbido bouquet, fruttato, sentori di banana, pesca, albicocca, pera, acacia e fiori bianchi. Caldo, morido di buona struttura che rievoca chiaramente le sensazioni olfattive.","85-90% Greco; 10-15% Falanghina","12,5%","I.G.T.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Ciesco Rosso","Roccamonfina","Rosso","Aglianico","Telaro","Rosso rubino intenso con riflessi porpora. Intenso, con un finale discretamente lungo dove si percepiscono sentori di spezie, more e frutta rossa matura. Caldo e morbido con tannini ben bilanciati.","100% Aglianico","12,5%","I.G.T.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Montecaruso Aglianico","Galluccio","Rosso","Galluccio","Telaro","Rosso rubino intenso. Fragranze floreali e fruttate con sentori di frutta rossa e sottobosco. Caldo, con tannini eleganti, fresco e di buona persistenza.","89-90% Aglianico; 10-15% Piedirosso","13,5%","D.O.C.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Falanghina Roccamonfina Vendemmia Tardiva","Roccamonfina","Bianco","Falanghina","Telaro","Giallo paglierino intenso con riflessi dorati. Chiare ed eleganti note floreali e fruttate, da frutta gialla ed esotica; discreto e piacevole retrogusto erbaceo. Particolarmente morbido e fresco, coerente con le sensazioni olfattive.","85-90% Falanghina; 10-15 Sauvignon","13%","I.G.T.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Fonte Caja","Roccamonfina","Bianco","Falanghina","Telaro","Giallo paglierino. Elegante e floreale con delicati sentori di rosa e salvia; chiare fragranze fruttate di ananas, banana e pesca gialla. Piacevolmente fresco e morbido richiama appieno le sensazioni olfattive.","85-90% Falanghina; 10-15% Coda di Volpe","12%","I.G.T.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Ripa Bianca","Galluccio","Bianco","Falanghina","Telaro","Giallo paglierino intenso con riflessi verdognoli, profumo elegante, fruttato con delicati sentori di mela, albicocca e pera. Gusto fresco, sapido ed equilibrato con un buon richiamo delle sensazioni olfattive.","100% Falanghina","12,5%","D.O.C.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Tefrite Falanghina Brut","Vino Spumante","Bianco","Brut","Telaro","Giallo paglierino intenso con riflessi verdognoli. Profumo elegante, fruttato con delicati sentori di mela, albicocca e pera. Gusto fresco, sapido ed equilibrato, con un buon richiamo delle sensazioni olfattive.","100% Falanghina","13%","V.S.","Via Cinque Pietre, Contrada Calabritto","Galluccio","Caserta","41.345887, 13.948946","http://www.vinitelaro.it/","0823 925841","",
"Campi Flegrei Falanghina","Campi Flegrei","Bianco","Falanghina","Tenuta Matilde Zasso","Di colore giallo paglierino con riflessi verdognoli, al naso fresco, delicato , gradevole con profumi di ginestre ed una spiccata mineralità e con una giusta acidità.","100% Falanghina","13%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Falanghina Spumante Brut","Falanghina del Sannio Spumante","Bianco","Brut","Tenute Matilde Zasso","Di colore giallo paglierino, brillante, spuma bianca, “perlage” a grana fine e persistente. Al naso sentori acerbi di frutta gialla e crosta di pane. Al palato si presenta secco, fresco e leggermente minerale, con varianti di morbidezza successive che ne fanno un eccellente compagno di tavola.","100% Falanghina","12%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Lacryma Christi Rosso","Vesuvio","Rosso","Lacryma Christi","Tenute Matilde Zasso","Colore rosso intenso, al naso presenta evidenti note speziate.","Aglianico; Piedirosso","12,5%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Lacryma Christi Bianco","Vesuvio","Bianco","Lacryma Christi","Tenute Matilde Zasso","Di colore giallo carico e verdognole. Al naso ha sentore di albicocca.","Coda di Volpe; Falanghina","12,5%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Campi Flegrei Piedirosso","Campi Flegrei","Rosso","Piedirosso","Tenute Matilde Zasso","Di colore rosso rubino dal sapore morbido ed elegante e nello stesso tempo deciso, piacevole la sua mineralità con un leggero accenno sulfureo dato dal territorio prettamente vulcanico.","100% Piedirosso","13%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Roséus Pes","Campania","Rosato","","Tenute Matilde Zasso","Di colore rosa cerasuolo. Al naso sentori acerbi di frutti rossi, tra questi riconoscibile in franchezza la fragolina di bosco. Al palato ha un impatto morbido e fresco, con una tenua sapidità minerale nel finale.","100% Aglianico","12,5%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Sannio Coda di Volpe","Sannio","Bianco","Coda di Volpe","Tenute Matilde Zasso","Di colore giallo paglierino più o meno intenso al naso delicato, dal sapore pieno ed equilibrato.","85% Coda di Volpe; 15% Falanghina","12,5%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Tenute Matilde Zasso","Di colore giallo oro con riflessi verdognoli, al naso offre sentori di albicocca e pesca, in bocca è morbido, minerale di buon corpo ed elegante e di una buona acidità.","100% Greco","13%","D.O.C.G.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Excelso 14","Sannio","Rosso","Aglianico","Tenute Matilde Zasso","Di colore rosso rubino tendente al granato ,intenso, deciso e avvolgente un esplosione di sensazioni da condividere.","100% Aglianico","14%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Sannio Aglianico","Sannio","Rosso","Aglianico","Tenute Matilde Zasso","Di colore rosso rubino intenso al naso dal gusto deciso e avvolgente ma non aggressivo.","100% Aglianico","12,5%","D.O.C.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Tenute Matilde Zasso","Di colore giallo oro carico, al naso ha sentori di pera, nocciola tostata e ananas. Ha una buona acidità buon corpo ed evidenti note di nocciole tostata.","100% Fiano","13%","D.O.C.G.","Via Cuma Licola, 141","Pozzuoli","Napoli","40.849868, 14.076898","http://www.tenutamatildezasso.it/","081 8555638","",
"Alburno","Paestum","Rosso","","Tenute del Fasanella","","100% Aglianicone","12,5%","I.G.P.","Corso Apollo XI, 44","Sant'Angelo a Fasanella","Salerno","40.456470, 15.344385","http://www.tenutedelfasanella.it/","0828 961285","",
"Auso","Paestum","Rosso","","Tenute del Fasanella","","50% Aglianico; 50% Primitivo","14,5%","I.G.P.","Corso Apollo XI, 44","Sant'Angelo a Fasanella","Salerno","40.456470, 15.344385","http://www.tenutedelfasanella.it/","0828 961285","",
"Phasis","Paestum","Bianco","Fiano","Tenute del Fasanella","","100% Fiano","13,5%","I.G.P.","Corso Apollo XI, 44","Sant'Angelo a Fasanella","Salerno","40.456470, 15.344385","http://www.tenutedelfasanella.it/","0828 961285","",
